 # MagPy ASCII
Time,"File",Bi-214_609[KeV],Bi-214_1120[KeV],Bi-214_1764[KeV],Pb-214_295[KeV],Pb-214_352[KeV]
2015-10-12 22:00:00,Spectral_401302.Chn,59494.7112042,211905.02411,69896.0955838,173248.25877,264566.708183
2015-10-12 23:00:00,Spectral_401303.Chn,59670.6994347,210982.340339,70664.11142,168424.437724,270073.181806
2015-10-13 00:00:00,Spectral_401304.Chn,59289.5259497,208966.65918,72059.446237,171052.99222,242385.80273
2015-10-13 01:00:00,Spectral_401305.Chn,58399.8734,215690.682604,71462.6438966,168608.403723,245883.282476
2015-10-13 02:00:00,Spectral_401306.Chn,60144.9537766,213104.678509,71795.0546257,170905.093253,243929.349772
2015-10-13 04:00:00,Spectral_401308.Chn,58271.0309889,208002.698526,71520.8700898,166402.258978,243913.720144
2015-10-13 06:00:00,Spectral_401310.Chn,59683.2064145,212104.927129,70613.9898124,170070.752967,250141.746637
2015-10-13 07:00:00,Spectral_401311.Chn,58366.0582393,210763.422604,71584.6871656,172815.699325,247655.462407
2015-10-13 08:00:00,Spectral_401312.Chn,59386.5028604,212807.530422,70351.6444808,165670.941153,240788.611899
2015-10-13 09:00:00,Spectral_401313.Chn,58957.8788916,211112.883507,72220.352119,169721.818605,240630.911639
2015-10-13 10:00:00,Spectral_401314.Chn,59417.8268266,212564.916286,70957.9832559,175413.895368,242467.072952
2015-10-13 11:00:00,Spectral_401315.Chn,58636.486755,210911.561178,70655.961647,165432.592008,259376.571626
2015-10-13 12:00:00,Spectral_401316.Chn,58750.090005,209580.184102,71567.2062212,169117.002867,252791.237165
2015-10-13 13:00:00,Spectral_401317.Chn,59642.5299115,212614.408156,70759.8676505,168205.61707,251794.945549
2015-10-13 14:00:00,Spectral_401318.Chn,58967.0991477,210844.054093,70555.8508945,169817.607602,245547.970181
2015-10-13 15:00:00,Spectral_401319.Chn,58355.8893044,212698.380203,70403.2510612,174636.538701,248824.131951
2015-10-13 16:00:00,Spectral_401320.Chn,58889.8488042,210795.511246,71363.3117747,167991.546768,246976.903441
2015-10-13 17:00:00,Spectral_401321.Chn,59058.8940082,207953.019953,70813.9692096,167274.269487,256885.133387
2015-10-13 18:00:00,Spectral_401322.Chn,58866.2255856,214160.689933,70300.6770791,153599.704197,255280.630166
2015-10-13 19:00:00,Spectral_401323.Chn,59635.4997911,213515.075706,71160.1863382,174862.126637,253268.414832
2015-10-13 20:00:00,Spectral_401324.Chn,59542.6482154,208606.940041,71584.2634808,164040.656394,244544.335242
2015-10-13 21:00:00,Spectral_401325.Chn,59278.7585021,209279.75832,70622.7891298,170859.48686,260393.26555
2015-10-13 22:00:00,Spectral_401326.Chn,59307.36007,212940.948242,70229.9448959,175058.445179,240809.44427
2015-10-13 23:00:00,Spectral_401327.Chn,59577.5555373,213100.63931,70749.6509368,168954.074214,249205.730403
2015-10-14 00:00:00,Spectral_401328.Chn,58636.8457501,212243.845772,71586.1105834,164054.985542,259780.342246
2015-10-14 01:00:00,Spectral_401329.Chn,59112.2172971,212915.536983,71356.0880352,173240.337065,254450.129107
2015-10-14 02:00:00,Spectral_401330.Chn,58270.1218585,213648.238305,70515.4711287,173439.121929,250658.061641
2015-10-14 03:00:00,Spectral_401331.Chn,59415.4900198,213335.967303,70973.3138162,164772.617554,256254.872914
2015-10-14 04:00:00,Spectral_401332.Chn,58972.9559832,209975.187216,70842.3917349,170149.829343,237042.013306
2015-10-14 05:00:00,Spectral_401333.Chn,59151.078587,209849.303008,70848.2627691,172759.800323,248337.439343
2015-10-14 06:00:00,Spectral_401334.Chn,59713.6373964,211261.729001,70475.8012001,170474.841776,262329.876077
2015-10-14 07:00:00,Spectral_401335.Chn,59185.8785459,211408.512016,70301.7603358,171435.597134,246335.04311
2015-10-14 08:00:00,Spectral_401336.Chn,59861.4304483,209050.133365,71216.5316415,169224.921514,254508.094434
2015-10-14 09:00:00,Spectral_401337.Chn,58774.8716224,207541.57696,69888.0476529,170917.333108,256339.32019
2015-10-14 10:00:00,Spectral_401338.Chn,58427.7722899,213584.278221,70583.4825167,174296.540895,255907.172225
2015-10-14 11:00:00,Spectral_401339.Chn,57692.3837192,210608.209947,71131.2164284,174286.598298,255015.708592
2015-10-14 12:00:00,Spectral_401340.Chn,59675.3602456,208622.699901,70298.1485342,169779.924891,239563.470088
2015-10-14 13:00:00,Spectral_401341.Chn,59146.0355888,210856.861278,70761.7551428,169887.697702,248667.069382
2015-10-14 14:00:00,Spectral_401342.Chn,59110.5968776,210623.438024,71671.4065276,171233.01084,257990.113648
2015-10-14 15:00:00,Spectral_401343.Chn,59436.3233398,214072.720634,70488.8366398,170101.112499,246659.904647
2015-10-14 16:00:00,Spectral_401344.Chn,58989.1567155,212265.337077,70320.7093368,166733.826004,254124.951793
2015-10-14 17:00:00,Spectral_401345.Chn,59178.8706601,211619.585035,69304.4494882,171047.578376,245123.534281
2015-10-14 18:00:00,Spectral_401346.Chn,59551.4703387,209553.500329,71147.3022515,173046.019313,255394.054518
2015-10-14 19:00:00,Spectral_401347.Chn,59876.7566557,211014.467193,69302.4722671,178433.066433,265653.21352
2015-10-14 20:00:00,Spectral_401348.Chn,58189.8859271,212628.074674,71859.3763665,168926.621841,247627.451303
2015-10-14 21:00:00,Spectral_401349.Chn,59810.2784052,209418.779793,69402.834005,172008.69369,239363.400992
2015-10-14 22:00:00,Spectral_401350.Chn,58284.6240649,213362.889784,69606.4447945,172555.772596,252001.679328
2015-10-14 23:00:00,Spectral_401351.Chn,58983.1851129,213060.166145,70380.8626308,165315.224197,248657.062959
2015-10-15 00:00:00,Spectral_401352.Chn,58270.9067049,211165.769976,70273.149011,168291.174454,260115.580454
2015-10-15 01:00:00,Spectral_401353.Chn,59638.2001823,214205.007786,70772.3140922,171059.765245,262171.021049
2015-10-15 02:00:00,Spectral_401354.Chn,59487.8117508,212600.728395,70537.7780413,174431.488136,250350.395594
2015-10-15 03:00:00,Spectral_401355.Chn,58580.3185302,214078.923364,70799.6743772,169527.468578,250264.795086
2015-10-15 04:00:00,Spectral_401356.Chn,59226.9054566,213119.555837,70310.5791864,172983.083969,252229.721732
2015-10-15 05:00:00,Spectral_401357.Chn,59226.7018561,211727.274702,70569.0826761,171413.714775,252794.300358
2015-10-15 06:00:00,Spectral_401358.Chn,59776.8530519,213781.733701,69805.9659038,174114.370792,251037.446075
2015-10-15 07:00:00,Spectral_401359.Chn,58248.2343802,213840.379431,70597.3349176,167117.15819,254535.783462
2015-10-15 08:00:00,Spectral_401360.Chn,58819.1826288,212397.975082,69625.5644276,169645.306274,248557.949474
2015-10-15 09:00:00,Spectral_401361.Chn,59134.5427996,215048.870617,70707.1860175,175325.50814,255621.380172
2015-10-15 10:00:00,Spectral_401362.Chn,60368.3655135,217277.752245,71131.5989544,174955.973269,255128.371352
2015-10-15 11:00:00,Spectral_401363.Chn,58370.9020601,210893.777848,71215.8507266,171119.41515,254655.118612
2015-10-15 12:00:00,Spectral_401364.Chn,58724.5351234,213999.62447,70503.8604392,170362.150252,249180.711884
2015-10-15 13:00:00,Spectral_401365.Chn,57984.6716672,210614.150853,70548.3771306,168700.767583,249065.652367
2015-10-15 14:00:00,Spectral_401366.Chn,59029.7052237,211233.81903,70062.8658362,154631.137655,244246.852763
2015-10-15 15:00:00,Spectral_401367.Chn,58965.7934807,213859.81515,70582.5741025,173361.980905,256814.64603
2015-10-15 16:00:00,Spectral_401368.Chn,58480.3247555,205807.477674,70080.6978026,161706.385892,237556.320675
2015-10-15 17:00:00,Spectral_401369.Chn,58908.1971768,212535.237812,70903.5490948,168339.741836,252314.405874
2015-10-15 18:00:00,Spectral_401370.Chn,57789.811449,208035.334661,70271.5866887,169908.033011,242000.82246
2015-10-15 19:00:00,Spectral_401371.Chn,57637.9427941,211927.601222,70345.5741274,170706.021992,245972.188173
2015-10-15 20:00:00,Spectral_401372.Chn,57565.3375578,210822.765254,69896.3030765,174952.6248,254772.85154
2015-10-15 21:00:00,Spectral_401373.Chn,58066.1884709,213236.298299,69835.9268743,155749.534869,235111.33639
2015-10-15 22:00:00,Spectral_401374.Chn,57386.9796202,209576.808555,70133.534809,164121.673498,254731.368921
2015-10-15 23:00:00,Spectral_401375.Chn,58539.4169901,207065.239322,69298.6895218,165213.34523,249760.822201
2015-10-16 00:00:00,Spectral_401376.Chn,57488.1561694,207562.825721,68868.9665619,174132.867642,234397.889899
2015-10-16 01:00:00,Spectral_401377.Chn,58817.4461207,210541.223505,68603.8067027,167342.696771,254806.263821
2015-10-16 02:00:00,Spectral_401378.Chn,57090.5469793,209982.763511,69001.8488067,170439.750973,253078.581206
2015-10-16 03:00:00,Spectral_401379.Chn,58316.2660719,209889.49657,70442.6377031,170393.407963,249606.36891
2015-10-16 04:00:00,Spectral_401380.Chn,58089.163726,209513.429131,68896.7567839,172993.629691,244624.280788
2015-10-16 05:00:00,Spectral_401381.Chn,58369.6067114,209244.063048,70307.2202537,169964.573601,246482.87716
2015-10-16 06:00:00,Spectral_401382.Chn,58532.2903027,207615.248752,69440.3654784,168327.443406,239686.222717
2015-10-16 07:00:00,Spectral_401383.Chn,58122.8545632,209313.742122,69316.7385492,168993.607978,245656.545323
2015-10-16 08:00:00,Spectral_401384.Chn,57978.8227599,210456.799856,68603.700927,169958.223762,250396.674775
2015-10-16 09:00:00,Spectral_401385.Chn,57939.3806275,208648.090091,68707.0444088,164326.707529,238357.177629
2015-10-16 10:00:00,Spectral_401386.Chn,58628.4380103,211682.822038,69694.1636004,162346.445754,249295.177282
2015-10-16 11:00:00,Spectral_401387.Chn,59474.813439,208335.680074,69391.2548353,165441.153757,242471.568966
2015-10-16 12:00:00,Spectral_401388.Chn,58082.6150051,206160.360766,69471.6173334,169986.563298,245022.326726
2015-10-16 13:00:00,Spectral_401389.Chn,58535.4380253,211889.795396,70008.3369433,169513.597272,257531.959541
2015-10-16 14:00:00,Spectral_401390.Chn,57701.6569869,208164.793881,70161.0402374,165213.709891,235445.521772
2015-10-16 15:00:00,Spectral_401391.Chn,57902.582324,206985.121035,70007.0214466,165086.193114,246299.53713
2015-10-16 16:00:00,Spectral_401392.Chn,59175.4349379,208921.296902,68609.5839745,165130.754314,251755.738311
2015-10-16 18:00:00,Spectral_401394.Chn,58296.9149046,210979.578324,69285.2987193,169496.604867,250065.603272
2015-10-16 19:00:00,Spectral_401395.Chn,57564.7112887,210238.42095,70052.1865786,170618.15019,254006.691963
2015-10-16 20:00:00,Spectral_401396.Chn,57989.1721372,206782.314499,70336.0979241,166149.112738,239306.68559
2015-10-16 21:00:00,Spectral_401397.Chn,57484.9055866,210871.992757,70054.9408438,168951.457563,250497.091764
2015-10-16 22:00:00,Spectral_401398.Chn,58374.9346012,212038.63935,70069.4037826,165569.414947,244819.512566
2015-10-16 23:00:00,Spectral_401399.Chn,58746.4902133,209510.042737,70212.9931837,168612.697243,248301.165702
2015-10-17 00:00:00,Spectral_401400.Chn,58429.369663,207550.532701,68840.8459106,167025.310072,236160.189158
2015-10-17 01:00:00,Spectral_401401.Chn,57815.4205978,212756.391567,68681.4616102,170452.562944,246747.571428
2015-10-17 02:00:00,Spectral_401402.Chn,58568.4144618,207644.705117,68634.8544213,169495.553738,246658.995824
2015-10-17 03:00:00,Spectral_401403.Chn,59448.854153,214224.739655,69928.4776434,166589.918322,247214.898711
2015-10-17 04:00:00,Spectral_401404.Chn,58414.8834123,212931.195392,71135.2207306,172568.557976,256904.422349
2015-10-17 05:00:00,Spectral_401405.Chn,59173.4718385,210263.981058,69196.1186917,166921.666802,250710.851483
2015-10-17 06:00:00,Spectral_401406.Chn,58751.520812,208509.525294,70262.8286007,165382.141375,256510.01733
2015-10-17 07:00:00,Spectral_401407.Chn,58143.8223456,207961.576504,70372.7097189,168902.015995,248509.242767
2015-10-17 08:00:00,Spectral_401408.Chn,57708.7240397,211585.885359,70897.0311494,167270.174134,249455.584557
2015-10-17 09:00:00,Spectral_401409.Chn,58271.9750519,213752.330314,69454.6271685,174785.492345,245940.93892
2015-10-17 10:00:00,Spectral_401410.Chn,57858.5031046,212203.378839,69540.3405995,170002.355382,254901.380469
2015-10-17 11:00:00,Spectral_401411.Chn,59041.8690116,210085.43985,70602.480715,169789.153736,259290.584026
2015-10-17 13:00:00,Spectral_401413.Chn,57873.9947816,208890.288736,69336.2347236,166441.2529,238964.617155
2015-10-17 14:00:00,Spectral_401414.Chn,57992.4666809,207578.754952,69511.9309755,167193.020259,259343.697738
2015-10-17 15:00:00,Spectral_401415.Chn,58804.4208709,211598.709339,70714.7649507,164993.498678,251524.326607
2015-10-17 16:00:00,Spectral_401416.Chn,56731.6592689,208733.920559,69077.313434,166688.966188,251135.199903
2015-10-17 17:00:00,Spectral_401417.Chn,58456.7292347,207277.383956,70326.1993261,162777.454174,250583.41036
2015-10-17 18:00:00,Spectral_401418.Chn,57708.7857001,208487.808794,69901.4605668,168199.969275,247086.010743
2015-10-17 19:00:00,Spectral_401419.Chn,57997.2044165,207231.723081,69630.3046773,171768.740823,261040.078558
2015-10-17 20:00:00,Spectral_401420.Chn,58580.0441691,209077.621591,69748.4455221,167951.7035,258570.802228
2015-10-17 21:00:00,Spectral_401421.Chn,58123.1019688,209519.07644,69697.9910471,168671.041526,254534.610666
2015-10-17 22:00:00,Spectral_401422.Chn,59164.689118,208021.081011,70841.8310187,166517.620093,228422.015693
2015-10-17 23:00:00,Spectral_401423.Chn,58912.0028174,208848.67065,69667.3227871,161493.396456,261831.204073
2015-10-18 00:00:00,Spectral_401424.Chn,60025.964037,210972.39355,68771.4530562,169819.535335,249277.190234
2015-10-18 01:00:00,Spectral_401425.Chn,57635.7670948,207662.203591,69430.525594,160832.530082,231298.74769
2015-10-18 02:00:00,Spectral_401426.Chn,58169.0987342,211589.711732,70006.1953499,165131.847483,250371.818634
