 # MagPy ASCII
Time,"File",CountsBa[],CountsCs[],CountsBi1120[],CountsBi1764[],CountsAll[],CountsMCA(Bi1764)[],CountsSCA(Ch291)[],ChannelShift(Max_near_291)[]
2016-09-30 16:00:00,Spectral_409792.Chn,887628.753543,202554.188277,8650.59800152,8723.21176638,26333.4878049,743.944498628,571.614035088,6.53159851301
2016-09-30 17:00:00,Spectral_409793.Chn,889190.324584,203729.472809,8983.86844167,8821.7467092,26909.7280564,757.821252793,609.438596491,6.56505576208
2016-09-30 18:00:00,Spectral_409794.Chn,885799.40298,202567.409076,8464.1464023,8617.97963636,25225.0627706,740.402984887,587.118644068,6.69516728625
2016-09-30 19:00:00,Spectral_409795.Chn,888188.715812,203588.581834,8802.95917094,8908.79340253,26268.6395349,762.853777111,602.75862069,6.56505576208
2016-09-30 20:00:00,Spectral_409796.Chn,882652.512772,203383.069558,8956.28546709,8613.68733982,26538.6139241,733.342761487,578.610169492,6.56505576208
2016-09-30 21:00:00,Spectral_409797.Chn,883838.602787,202465.594641,8719.90722565,8898.63084236,27582.8701299,766.37595883,549.316666667,6.66171003717
2016-09-30 22:00:00,Spectral_409798.Chn,889043.984062,202565.500168,8769.37939589,8858.87859551,27681.1954023,759.517485917,532.754098361,6.43494423792
2016-09-30 23:00:00,Spectral_409799.Chn,882052.578054,202801.026684,8726.48407657,8717.7352895,26378.3945048,739.826291591,560.762711864,6.49814126394
2016-10-01 00:00:00,Spectral_409800.Chn,886612.281224,201716.178602,8719.07504842,8658.57690432,25964.9727273,734.371048003,519.050847458,6.82527881041
2016-10-01 01:00:00,Spectral_409801.Chn,887738.751898,203490.632476,8632.04653375,8748.89397363,25464.1,750.154355556,546.103448276,6.66171003717
2016-10-01 02:00:00,Spectral_409802.Chn,886799.08807,202975.084521,8643.93080431,8948.30564444,27886.5,764.566034585,601.633333333,6.56505576208
2016-10-01 03:00:00,Spectral_409803.Chn,882659.768465,202978.977496,8550.27007752,8728.52693926,25523.8163106,750.336205989,560.033333333,6.6282527881
2016-10-01 04:00:00,Spectral_409804.Chn,884572.732616,203031.906404,8456.87171863,8740.31378513,26307.0519042,746.202273369,571.413793103,6.66171003717
2016-10-01 05:00:00,Spectral_409805.Chn,883751.161568,203120.479608,8614.44784804,8774.95891946,25803.305,756.295871794,527.728813559,6.56505576208
2016-10-01 06:00:00,Spectral_409806.Chn,887518.921688,203303.443306,8671.47333417,8747.60940495,27582.0187166,745.184325755,538.492063492,6.88847583643
2016-10-01 07:00:00,Spectral_409807.Chn,887074.182108,202556.405323,8597.97418227,8906.29204276,27100.6792536,759.860981852,575.101694915,6.69516728625
2016-10-01 08:00:00,Spectral_409808.Chn,889388.843993,202735.964026,8867.30095206,8602.64648766,26992.3023256,739.579675108,582.566666667,6.66171003717
2016-10-01 09:00:00,Spectral_409809.Chn,881779.374556,202145.730327,8655.53982942,9224.09981582,28256.5329874,784.175157726,599.474576271,6.66171003717
2016-10-01 10:00:00,Spectral_409810.Chn,887142.537492,202159.17584,8593.35097127,8731.7351451,27680.8481481,746.938912302,556.064516129,6.56505576208
2016-10-01 11:00:00,Spectral_409811.Chn,883645.085749,202514.897429,8878.81361963,8895.26716867,25529.0625,761.805573553,581.75,6.56505576208
2016-10-01 12:00:00,Spectral_409812.Chn,886643.117961,202234.157343,8827.89416035,8579.46644653,24640.1707317,734.456780612,540.796610169,6.43494423792
2016-10-01 13:00:00,Spectral_409813.Chn,886463.541153,203054.589536,8337.66357739,9025.70465948,27478.9159365,767.386523634,590.947368421,6.43494423792
2016-10-01 14:00:00,Spectral_409814.Chn,883212.111201,203268.350903,8770.85990255,8741.77045,25793.4037037,744.561283052,534.593220339,6.53159851301
2016-10-01 15:00:00,Spectral_409815.Chn,884786.419624,202733.343178,8616.59459573,8615.89613199,26895.4770591,735.958445489,548.310344828,6.46840148699
2016-10-01 16:00:00,Spectral_409816.Chn,889282.403036,203687.885838,8673.09776883,8781.43124102,28406.9473684,742.577948093,587.704918033,6.79182156134
2016-10-01 17:00:00,Spectral_409817.Chn,882808.500311,203467.330595,8733.17594579,9205.35833583,28848.0972222,779.626053452,650.13559322,6.66171003717
2016-10-01 18:00:00,Spectral_409818.Chn,882725.870731,202779.999818,8394.93051508,8808.08243384,25948.7792793,748.061109692,560.25862069,6.53159851301
2016-10-01 19:00:00,Spectral_409819.Chn,888464.451441,202623.613241,8666.60678344,8977.71142406,26665.8283699,771.408072621,516.389830508,6.66171003717
2016-10-01 20:00:00,Spectral_409820.Chn,886340.529431,202756.153632,8416.38632972,8902.1970395,28658.6,760.347153127,612.525423729,6.33828996283
2016-10-01 21:00:00,Spectral_409821.Chn,890450.39958,202319.60614,8953.30122311,8627.39432912,26714.5408163,733.12582159,539.672131148,6.43494423792
2016-10-01 22:00:00,Spectral_409822.Chn,884733.508379,202449.99051,8317.317783,8954.30259533,27645.8271605,757.072880954,584.93220339,6.79182156134
2016-10-01 23:00:00,Spectral_409823.Chn,882929.056803,202814.460345,8748.70905647,9094.45551487,27381.9090909,776.139114469,580.775862069,6.69516728625
2016-10-02 00:00:00,Spectral_409824.Chn,882919.010933,203481.961418,8813.21883197,8803.12189694,25501.7146465,755.252186179,612.272727273,6.66171003717
2016-10-02 01:00:00,Spectral_409825.Chn,885608.887365,203396.236465,9024.16375675,8743.78871254,25932.0878378,745.337617368,579.275862069,6.43494423792
2016-10-02 02:00:00,Spectral_409826.Chn,886005.93893,202734.035397,8798.29675258,8983.93408153,28919.5168539,761.351734519,541.262295082,6.6282527881
2016-10-02 03:00:00,Spectral_409827.Chn,882531.093263,202991.296592,8782.62527827,8858.81334215,26241.6571429,761.785956293,548.870967742,6.56505576208
2016-10-02 04:00:00,Spectral_409828.Chn,888266.825393,202069.996807,8453.79950432,8836.93840073,26373.3275862,751.048996359,561.641509434,6.53159851301
2016-10-02 05:00:00,Spectral_409829.Chn,883284.265155,202975.864401,8567.62348534,8879.09983899,25839.96875,762.834242463,575.052631579,6.69516728625
2016-10-02 06:00:00,Spectral_409830.Chn,887850.258316,202359.895554,8802.67529262,8801.58494425,26355.6287638,758.800901145,547.431034483,6.53159851301
2016-10-02 07:00:00,Spectral_409831.Chn,884907.471213,203360.279793,8894.01882985,8835.50717139,26945.2723577,753.633931875,594.428571429,6.79182156134
2016-10-02 08:00:00,Spectral_409832.Chn,888765.932679,203463.592923,8503.29681078,8762.64277257,28316.791866,746.051313877,617.052631579,6.79182156134
2016-10-02 09:00:00,Spectral_409833.Chn,882725.576191,202414.409467,8604.41421832,8875.48574514,26275.8536585,759.022042096,562.0,6.79182156134
2016-10-02 10:00:00,Spectral_409834.Chn,884794.616872,202492.965846,8559.2990026,8732.96041432,26493.8887105,751.731050879,571.892857143,6.66171003717
2016-10-02 11:00:00,Spectral_409835.Chn,883084.778104,203032.624965,8882.44745885,8962.76637124,26683.4633028,763.109929711,585.819672131,6.46840148699
2016-10-02 12:00:00,Spectral_409836.Chn,889511.437154,202551.98143,8826.2600755,8614.19120993,24615.7473684,735.920114577,582.694915254,6.46840148699
2016-10-02 13:00:00,Spectral_409837.Chn,886115.252737,203206.485135,8846.52694677,8663.51124454,26237.879286,743.816242605,581.433333333,6.56505576208
2016-10-02 14:00:00,Spectral_409838.Chn,883341.546013,202977.949525,8740.85535444,8664.26139944,26054.4811321,742.416550726,560.877192982,6.43494423792
